text,clean_text
"Анапа, па-па-ра-па",анапа
"Пойдём до бара, пойдём до бара взять вино",пойти до бар пойти до бар взять вино
"Я в Анапе — мне пиздато, я в Анапе — мне пиздато",я в анапа я пиздато я в анапа я пиздато
"Хэй, во-о-о-о-оу (goddamn!)",хэй goddamn
"Я в Анапе — мне пиздато, я в Анапе — мне пиздато",я в анапа я пиздато я в анапа я пиздато
"Хэй, во-о-о-о-оу (окей)",хэй окей
"Лето, берег, алкаши, запах анаши",лето берег алкаш запах анаша
"Со мной мои кореши, они хороши",с я мой кореш они хороший
"Отдыхаем на гальке, ха, солнце, белые Nike (пру, пру)",отдыхать на галька ха солнце белые nike пра пра
"Всюду мятые банки, ха, вязаные панамки",всюду мятый банк ха вязаный панамка
"Шашлычок, дым (вау), щас повисим (ага)",шашлычок дым вау сейчас повисеть ага
"Вкусно писец, обожаю свою жизнь",вкусно писец обожать свой жизнь
"Это райский уголок, отдыхают друзья (чё?)",это райский уголок отдыхать друг что
"И я самый счастливый (чё-чё), нассыте на меня",и я самый счастливый нассать на я
"Нассыте на меня, я сегодня буду пьян",нассать на я я сегодня быть пьяный
"Я танцую в этом баре для тебя, только для тебя!",я танцевать в это бар для ты только для ты
И до сентября бьёт любовь по ноздрям,и до сентябрь бить любовь по ноздря
Ведь сегодня отдыхаем на морях (на морях),ведь сегодня отдыхать на море на море
"Это всё, что остаётся под этим ярким солнцем",это всё что оставаться под это яркий солнце
"Всё, что остаётся под этим жарким солнцем",всё что оставаться под это жаркий солнце
"Всё, что остаётся под этим грустным солнцем",всё что оставаться под это грустный солнце
"Всё, что остаётся (ведь это)",всё что оставаться ведь это
"Анапа, па-па-ра-па",анапа
"Dance'им до утра, dance'им до утра, а",до утро до утро а
"Анапа, па-па-ра-па",анапа
"Пойдём до бара, пойдём до бара взять вино",пойти до бар пойти до бар взять вино
"Я в Анапе — мне пиздато, я в Анапе — мне пиздато",я в анапа я пиздато я в анапа я пиздато
"Хэй, во-о-о-о-оу (goddamn!)",хэй goddamn
"Я в Анапе — мне пиздато, я в Анапе — мне пиздато",я в анапа я пиздато я в анапа я пиздато
"Хэй, во-о-о-о-оу (окей)",хэй окей
"В моих руках не полотенце, но я точно застелю",в мой рука не полотенце но я точно застелить
"Время в ноги поцелуй, но не стреляй, я bulletproof",время в нога поцелуй но не стрелять я bulletproof
Эти волны принесут нам радость от новейших чувств,этот волна принести мы радость от новый чувство
"Я люблю, как светит солнце, ведь на ней сушу траву",я любить как светить солнце ведь на она суша трава
"За ручки до шашлычки, пусть нас никто не ищет",за ручка до шашлычок пусть мы никто не искать
"Девицы прячут лица от улыбок, но я вижу",девица прятать лицо от улыбка но я видеть
"Мы снимем-снимем клипы, как невинно виснем в вилле",мы клип как невинно виснуть в вилла
"Не суйся в эти игры, тут, в Анапе, нет дебилов",не соваться в этот игра тут в анапа нет дебил
"Я продам протест, чтоб купить билет в Анапу",я продать протест чтоб купить билет в анапа
"Хуёвая покупка, но лучший подарок",хуёвый покупка но хороший подарок
"Я бездарен, детка, знаю, но деньги всё решают",я бездарный детка знать но деньга всё решать
"Я иду по головам, ведь это всё, что мне осталось, эй",я идти по голова ведь это всё что я остаться эй
"Я продам протест, чтоб купить билет в Анапу",я продать протест чтоб купить билет в анапа
Кому дёргал лапу — теперь посылаю нахуй,кто дёргать лапа теперь посылать нахуй
"Я у цели, парень, я богатый, нахуй",я у цель парень я богатый нахуй
Я еду сюда-а! (Окей!),я еда окей
"Анапа, па-па-ра-па",анапа
"Dance'им до утра, dance'им до утра, а",до утро до утро а
"Анапа, па-па-ра-па",анапа
"Пойдём до бара, пойдём до бара взять вино",пойти до бар пойти до бар взять вино
"Я в Анапе — мне пиздато, я в Анапе — мне пиздато",я в анапа я пиздато я в анапа я пиздато
"Хэй, во-о-о-о-оу (goddamn!)",хэй goddamn
"Я в Анапе — мне пиздато, я в Анапе — мне пиздато",я в анапа я пиздато я в анапа я пиздато
"Хэй, во-о-о-о-оу (окей)",хэй окей
"Анапа, па-па-ра-па",анапа
"Dance'им до утра, dance'им до утра, а",до утро до утро а
"Анапа, па-па-ра-па",анапа
"Пойдём до бара, пойдём до бара взять вино",пойти до бар пойти до бар взять вино
"Я в Анапе — мне пиздато, я в Анапе — мне пиздато",я в анапа я пиздато я в анапа я пиздато
"Хэй, во-о-о-о-оу (goddamn!)",хэй goddamn
"Я в Анапе — мне пиздато, я в Анапе — мне пиздато",я в анапа я пиздато я в анапа я пиздато
"Хэй, во-о-о-о-оу (окей)",хэй окей
"Снежный асфальт, белая кровь",снежный асфальт белый кровь
Ручьями стекала в реки северных вод,ручей стекать в река северный вода
"Ты – от меня, я – за тобой",ты от я я за ты
"Гордость ушла, видать, это любовь",гордость уйти видать это любовь
"Всё, что принято скрывать, показала всем назло",всё что принять скрывать показать весь назло
"Искал тебя по ментам, забирал тебя с СИЗО",искать ты по мент забирать ты с сизый
"Снова выглядишь как блядь, и всё тело в синяках",снова выглядеть как блядь и всё тело в синяк
"Так хотел тебя прижать, но ты вдетая",так хотеть ты прижать но ты вдеть
"Ты моя Герда, Герда, Герда (Ву!)",ты мой герд герд герд ву
"Тебя уже не растопить, наверно (Наверно)",ты уже не растопить наверно наверно
Любовь давно застыла в твоих венах,любовь давно застылый в твой вено
"И это так необыкновенно, Герда",и это так необыкновенно герд
"Ты моя Герда, Герда, Герда",ты мой герд герд герд
"Тебя уже не растопить, наверно",ты уже не растопить наверно
Любовь давно застыла в твоих венах,любовь давно застылый в твой вено
"И это так необыкновенно, Герда",и это так необыкновенно герд
"А, а-а, а",а а
"Ту, ту, ту",тот тот тот
"Ту, ту, ту",тот тот тот
"А, а-а, а",а а
"А, а-а, а",а а
"Ту, ту, ту",тот тот тот
"Ту, ту, ту",тот тот тот
"Ту, ту, ту",тот тот тот
Ты так похудела – почти незаметна,ты так похуделый почти незаметный
Ведь слишком давно уже не видела лета,ведь слишком давно уже не видеть лето
"Видать, бесконечна твоя кинолента",видать бесконечный твой кинолента
Мороза погонит королева из снега,мороз погнать королева из снег
"Всё не по канону сказок, поцелуйчик не спасёт",всё не по канон сказка поцелуйчик не спасти
И осколок с твоих глазок никогда не упадёт,и осколок с твой глазок никогда не упасть
Мчится северный олень с мигалочкой по Москве,мчаться северный олень с мигалочка по москва
Через ледяные сеты самых быстрых дискотек,через ледяной сет самый быстрый дискотека
"Е, е, во дворце тебя ждёт твой кайф",быть быть в дворец ты ждать твой кайф
В хрущёвке тебя ждёт твой Кай,в хрущёвка ты ждать твой кай
Во дворце тебя ждёт твой кайф,в дворец ты ждать твой кайф
"Ты моя Герда, Герда, Герда",ты мой герд герд герд
"Тебя уже не растопить, наверно",ты уже не растопить наверно
Любовь давно застыла в твоих венах,любовь давно застылый в твой вено
"И это так необыкновенно, Герда",и это так необыкновенно герд
"Ты моя Герда, Герда, Герда",ты мой герд герд герд
"Тебя уже не растопить, наверно",ты уже не растопить наверно
Любовь давно застыла в твоих венах,любовь давно застылый в твой вено
"И это так необыкновенно, Герда",и это так необыкновенно герд
Смотри в глаза,смотреть в глаз
Научи всё знать,научить всё знать
"Да, я знаю пароль",да я знать пароль
И в 16:00 ты меня забирай,и в ты я забирать
"Играть, тебе так нужно играть",играть ты так нужно играть
Нам так скучно без драм,мы так скучно без драма
"Вот зелёный экран, чтобы нарисовать",вот зелёный экран чтобы нарисовать
"Слёзки, м-м, не прячь",слёзка не прятать
Я буду с тобой честна,я быть с ты честный
"Кричу: ""Кусай""",кричать кусать
Губы-спички в волосах сожги,в волос сжечь
Не смогу тебя простить,не смочь ты простить
"За то, что научил курить, а (на-на-на-на-на)",за то что научить курить а
Глотаешь слёзки с моих губ,глотать слёзка с мой губа
Со вкусом Орбит (на-на-на-на-на),с вкус орбита
"Я для тебя сбегу, малыш",я для ты сбег малыш
С воскресной школы (на-на-на-на-на),с воскресный школа
И мы утонем в море джанка с Пепси-колой (на-на-на-на-на),и мы утонуть в море джанк с
"Ты - поп-звезда, я - школьница (а-а-а)",ты я школьница
Я танцую на столе в детском розовом белье,я танцевать на стол в детский розовый бельё
"(йо-йо-йо-йо-йоу, продолжай)",продолжать
"Где мои игрушки, эй? А! Они в рюкзаке",где мой игрушка эй а они в рюкзак
"(йо-йо-йо-йо-йоу, доставай)",доставать
А мне стукнуло уже целых 18 лет,а я стукнуть уже целый год
Выходи скорей и поехали ко мне,выходить скорый и поехать к я
"Я мила не по годам, ты со мною окунешься в годы красного вина, а-а",я мила не по год ты с я окунуться в год красный вино
"В годы яркого музла, и синих дискотек",в год яркий музел и синий дискотека
"Ты запутался во мне, м",ты запутаться в я м
Глотаешь слёзки с моих губ,глотать слёзка с мой губа
Со вкусом Орбит (на-на-на-на-на),с вкус орбита
"Я для тебя сбегу, малыш",я для ты сбег малыш
С воскресной школы (на-на-на-на-на),с воскресный школа
И мы утонем в море джанка с Пепси-колой (на-на-на-на-на),и мы утонуть в море джанк с
"Ты - поп-звезда, я - школьница (а-а-а)",ты я школьница
"Е-е-е-е, let's go",let go
"Я свеж и молод, на мне значок — там серп и молот",я свежий и молодой на я значок там серп и молотый
"Красная чёлка, чёлка, стиль",красный чёлка чёлка стиль
Одета девчонка чётко,одетый девчонка чётко
"One, two, three, red girls on my lips",one two three red girls on my lips
"Эй, что ты такой грустный? Ты что, капиталист? (Еблан)",эй что ты такой грустный ты что капиталист еблан
А тут фиеста зашибись,а тут фиеста зашибиться
На тусовке по кирпичику мы строим коммунизм,на тусовка по кирпичик мы строить коммунизм
А деклассированных мы не пустим в клуб,а деклассированный мы не пустить в клуб
Их увёл куда-то bodyguard Ежов,они увести bodyguard ежов
Совсем вот скоро полетим мы на Луну,совсем вот скоро полететь мы на луна
Чтобы устроить там шоу,чтобы устроить там шоу
"И Ленин живой, диджеит ravecore на красных колонках",и ленин живой диджеить ravecore на красный колонка
"Танцуй, комсомол",танцевать комсомол
"Танцуй, комсомол",танцевать комсомол
"Танцуй, комсомолка (А-а-а)",танцевать комсомолка
"И Ленин живой, диджеит ravecore на красных колонках",и ленин живой диджеить ravecore на красный колонка
"Танцуй, комсомол",танцевать комсомол
"Танцуй, комсомол",танцевать комсомол
"Танцуй, комсомолка (А-а-а)",танцевать комсомолка
"У! Пролетарский дух: одной мало, беру двух!",у пролетарский дух один мало брать два
"Две девчонки, класс: модель",два девчонка класс модель
"Стакан воды, святой модерн!",стакан вода святой модерн
"Е, проводим время приятно",быть проводить время приятно
"Потом ещё раз повторим, будто с готами в 45-ом",потом ещё раз повторимый будто с гот в
"Это прогресс, хаос не проникнет, боярин",это прогресс хаос не проникнуть боярин
"А ты какой-то очень Каменев, давай за-Бухарин, окей?",а ты очень каменеть давать окей
А деклассированных мы не пустим в клуб,а деклассированный мы не пустить в клуб
Их увёл куда-то bodyguard Ежов,они увести bodyguard ежов
И мы построим новый мир когда-нибудь,и мы построить новый мир
Где всем будет хорошо,где весь быть хорошо
"И Ленин живой, диджеит ravecore на красных колонках",и ленин живой диджеить ravecore на красный колонка
"Танцуй, комсомол",танцевать комсомол
"Танцуй, комсомол",танцевать комсомол
"Танцуй, комсомолка (А-а-а)",танцевать комсомолка
"И Ленин живой, диджеит ravecore на красных колонках",и ленин живой диджеить ravecore на красный колонка
"Танцуй, комсомол",танцевать комсомол
"Танцуй, комсомол",танцевать комсомол
"Танцуй, комсомолка (А-а-а)",танцевать комсомолка
Мои постеры на твоей стене,мой постер на твой стена
"Детка, ты за мной следишь и знаешь всё обо мне",детка ты за я следить и знать всё о я
Поселился в голове и все мысли о Лиде,поселиться в голова и всё мысль о лида
"Я твоя первая любовь, и я первый твой секс",я твой первый любовь и я первый твой секс
В твоём плеере мой трек и новый альбом,в твой плеер мой трек и новый альбом
Он тебя вернёт в твой 2002-й,он ты вернуть в твой
А твой странный бойфренд мечтает стать мной,а твой странный бойфренд мечтать стать я
"Чтобы ты визжала так же при виде него, но, увы, он не swag (окей)",чтобы ты визжать так же при вид он но увы он не swag окей
"А, а, я возьму Cristal и пойду лечиться",а а я взять cristal и пойти лечиться
"А, а, в больной агонии я разрушу номер",а а в больной агония я разрушить номер
"Ведь я поп стар, мне плевать, что скажешь ты (у, у, у)",ведь я поп старый я плевать что сказать ты у у у
В моей башне алкоголь и дым (окей),в мой башня алкоголь и дым окей
"Модели прутся в хостел, ведь я кумир у подростков, подростков, ава-ава, йоу",модель переться в хостел ведь я кумир у подросток подросток йоу
"Это моя жизнь, это мой стиль (fuck!). Поп стар!",это мой жизнь это мой стиль fuck поп старый
"Maybach, золотой брелок в зубках моей новой hoe (о, о-о-о)",maybach золотой брелок в зубок мой новый hoe о
"Люкс-дабл-V.I.P спальня, номер 10 звёзд, сотка только лишь за ночь (о, о-о-о)",спальня номер звезда сотка только лишь за ночь о
"Мои деньги цвета мёда, тёлки цвета моды",мой деньга цвет мёд тёлка цвет мода
"Тусы цвета скуки, а искусство цвета соды",туса цвет скука а искусство цвет сода
Ярко-красные ковры цвета корвалола,ковёр цвет корвалола
И тёмные очки цвета несвободы (на-на-на-на-на),и тёмный очки цвет несвобода
"Я пытаюсь всё вернуть, сдохла химия давно",я пытаться всё вернуть сдохнуть химия давно
"Трахнул школьную любовь, не почувствовал ничего",трахнуть школьный любовь не почувствовать ничего
Я улыбочку с утра алкоголем заменю,я улыбочка с утро алкоголь заменить
"Потом разрушу номер в хлам, накидаюсь и спою",потом разрушить номер в хлам накидаться и спеть
"Что я поп стар: мне плевать, что скажешь ты (у, у, у)",что я поп старый я плевать что сказать ты у у у
В моей башне алкоголь и дым (окей),в мой башня алкоголь и дым окей
"Модели прутся в хостел, ведь я кумир у подростков, подростков, ава-ава, йоу",модель переться в хостел ведь я кумир у подросток подросток йоу
"Это моя жизнь, это мой стиль (fuck!). Поп стар!",это мой жизнь это мой стиль fuck поп старый
"Поп стар: мне плевать, что скажешь ты",поп старый я плевать что сказать ты
В моей башне алкоголь и дым,в мой башня алкоголь и дым
"Смочил пивом ирокез, сжимая крест",смочить пиво ирокез сжимать крест
"Я простой: живу красиво, чтоб красиво умереть",я простой жить красиво чтоб красиво умереть
"На мне чёрная печать, красная печаль",на я чёрный печать красный печаль
"Вы убийцы, мне осталось лишь напиться и кричать",вы убийца я остаться лишь напиться и кричать
Панки – хой! Горшок живой!,панк хой горшок живой
Панки – хой! Горшок живой!,панк хой горшок живой
Панки – хой! Горшок живой!,панк хой горшок живой
Панки – хой! Горшок живой!,панк хой горшок живой
"Йо, панки – хой!",йо панк хой
"Хой, хой, хой, хой, хой, хой, хой",хой хой хой хой хой хой хой
"Хой, хой, хой, хой, хой, хой, хой",хой хой хой хой хой хой хой
Панки – хой!,панк хой
"Хой, хой, хой, хой, хой, хой, хой",хой хой хой хой хой хой хой
"Хой, хой, хой, хой, хой, хой, хой",хой хой хой хой хой хой хой
"Я пантера, дикий котик, на говнарском камелоте",я пантера дикий котик на говнарский камелот
"В век искусства на хуях, я вечный Стас, Ай как против! (А)",в век искусство на хуй я вечный стас ай как против а
"Анархия внутри, романтика руин",анархия внутри романтика руина
"Под чёрным светом петь, как ели мясо мужики!",под чёрный свет петь как есть мясо мужик
(Fuck them up),fuck them up
Я набью себе тату со смыслом,я набить себя тат с смысл
Я богема нонконформизма,я богема нонконформизм
Проще говоря: попса – параша!,простой говорить попса параша
Панки – хой! Победа наша!,панк хой победа наш
"Извините за мой фэйл, но теперь панк-рок",извинить за мой фэйл но теперь
"Это аниме-эмо-рейв, а ты глазки закрывай (Упс)",это а ты глазок закрывать упс
Ведь главное – это дух искусства,ведь главное это дух искусство
"Лишь он сияет, а вокруг тёмно и грустно",лишь он сиять а вокруг тёмный и грустно
Лишь только вкуса говна!,лишь только вкус говно
Грядёт новая панк-рок волна,грясти новый волна
В моей башне плесневелый план,в мой башня плесневелый план
Инструкция по выжиганию вас,инструкция по выжигание вы
"Электричество, шедевры зодчества",электричество шедевр зодчество
Сердобольные потуги творчества (И всё идёт по плану!),сердобольный потуга творчество и всё идти по план
Над миром воссияет чёрный флаг и лилпиповский партак,над мир воссиять чёрный флаг и лилпиповский партак
Это моё пророчество,это мой пророчество
"Смочил пивом ирокез, сжимая крест",смочить пиво ирокез сжимать крест
"Я простой: живу красиво, чтоб красиво умереть",я простой жить красиво чтоб красиво умереть
"На мне чёрная печать, красная печаль",на я чёрный печать красный печаль
"Вы убийцы, мне осталось лишь напиться и кричать:",вы убийца я остаться лишь напиться и кричать
"Йо, панки – хой! Горшок живой! (Хой, хой, хой)",йо панк хой горшок живой хой хой хой
"Панки – хой! Горшок живой! (Хой, хой, хой)",панк хой горшок живой хой хой хой
"Панки – хой! Горшок живой! (Хой, хой, хой)",панк хой горшок живой хой хой хой
"Панки – хой! Горшок живой! (Хой, хой, хой)",панк хой горшок живой хой хой хой
"Панки – хой! Горшок живой! (Хой, хой, хой)",панк хой горшок живой хой хой хой
"Панки – хой! Горшок живой! (Хой, хой, хой)",панк хой горшок живой хой хой хой
"Панки – хой! Горшок живой! (Хой, хой, хой)",панк хой горшок живой хой хой хой
"Панки – хой! Горшок живой! (Хой, хой, хой)",панк хой горшок живой хой хой хой
"Йо, панки – хо-о-й!",йо панк
Автоматический Удовлетворитель (Йе),автоматический удовлетворитель йе
Я играю на рояле Distemper (Йе),я играть на рояль distemper йе
Итог: революция против родаков (Хой),итог революция против родаковы хой
"Я панк, как Пошлая Молли и ""предки отстой!"" (Отстой)",я панк как пошлый молли и предок отстой отстой
Мне хочется на гиг группы Кирпичи (Кирпич),я хотеться на гиг группа кирпич кирпич
Да и на Борю Усова не перестал дрочить,да и на боря усов не перестать дрочить
"Эх, вот бы мне в Тюмень 80-ых",эх вот бы я в тюмень
Чтобы Мирослав Немиров мне подкуривал пятку,чтобы мирослав немиров я подкуривать пятка
Да и с группой Мёртвый Ты я бы сделал коллаб,да и с группа мёртвый ты я бы сделать коллабнуть
Но могу получить лишь вежливый отказ (А-а),но мочь получить лишь вежливый отказ
А не сегодня в ЦДХ Егор Летов погиб? (Что?),а не сегодня в цдх егор летов погибнуть что
"Котейкины Сны – reunion ""Коммунизм"" (Коммунизм)",котейкина сон reunion коммунизм коммунизм
На моём плече Феликс Сандалов вибрейшн (Ха-ха-ха),на мой плечо феликс сандаловый вибрейшн
Я проебал Вудсток и опоздал на Формейшн (Йе),я проебал вудсток и опоздать на формейшн йе
"Да, твой нежный голосок мне поёт ""Заповедник"" (Ха-ха)",да твой нежный голосок я петь заповедник
Но панк-рок сдох электричкой последней! (А-а-а-а-а!),но сдохнуть электричка последний
"Еду в Коньково, еду в Омск",еда в коньковый еда в омск
Но группа Sex Pistols теперь тоже попс,но группа sex pistols теперь тоже попс
Так что включаю Лис Хлеб и Кузю УО,так что включать лис хлеб и кузя уо
Резервация Здесь и панк-рок говно,резервация здесь и говно
"Анархия не катит, даже Михаил Светов",анархия не катить даже михаил светов
"Теперь против государства, словно группа Lumen",теперь против государство словно группа lumen
Я качусь нахуй без ирокеза,я катиться нахуй без ирокез
Ведь чтобы панковать даже панк-рок не нужен,ведь чтобы панковать даже не нужный
Хой!,хой
"У, у",у у
"А, а",а а
"А, а, о",а а о
Ау,ау
Из гаражей...,из гараж
На последнем этаже фешенебельный фуршет,на последний этаж фешенебельный фуршет
И все дэнсят-дэнсят-дэнсят под Музло из гаражей,и всё под музло из гараж
"Дым, как от колёс Porsche, всё как будто в мираже",дым как от колесо porsche всё как будто в мираж
Но все дэнсят-дэнсят-дэнсят под Музло из гаражей,но всё под музло из гараж
На последнем этаже фешенебельный фуршет,на последний этаж фешенебельный фуршет
И все дэнсят-дэнсят-дэнсят под Музло из гаражей,и всё под музло из гараж
"Дым, как от колёс Porsche, всё как будто в мираже",дым как от колесо porsche всё как будто в мираж
И все дэнсят-дэнсят-дэнсят под Музло из гаражей,и всё под музло из гараж
У меня есть деньги (деньги),у я есть деньга деньга
Мои треки – бомба (бум),мой трек бомба бум
Эдуардо Фенди (fendi),эдуардо фенди fendi
Лично сшил мне бомбер (у),лично сшить я бомбер у
"Я знаю всю богему (е, е, е, е)",я знать весь богема быть быть быть быть
Я самый стильный блогер (окей),я самый стильный блогер окей
На мне новые коллекции Topman и NewYorker (окей),на я новый коллекция topman и newyorker окей
Я на ковровой дороге в дерьмо (–мо),я на ковровый дорога в дерьмо
"Камеры палят, и мне всё равно (–но)",камера палить и я всё равно
Записал трек и ты дэнсишь дико,записать трек и ты дэнсить дико
"Я Запашный, твоя hoe – тигр",я запашный твой hoe тигр
Бриллианты – мишура,бриллиант мишура
"Слышь, я молодой Шура",слышь я молодой шура
"Жизнь на 100, like superstar",жизнь на like superstar
"О, как же я устал",о как же я устать
На последнем этаже фешенебельный фуршет,на последний этаж фешенебельный фуршет
И все дэнсят-дэнсят-дэнсят под Музло из гаражей,и всё под музло из гараж
"Дым, как от колёс Porsche, всё как будто в мираже",дым как от колесо porsche всё как будто в мираж
Но все дэнсят-дэнсят-дэнсят под Музло из гаражей,но всё под музло из гараж
На последнем этаже фешенебельный фуршет,на последний этаж фешенебельный фуршет
И все дэнсят-дэнсят-дэнсят под Музло из гаражей,и всё под музло из гараж
"Дым, как от колёс Porsche, всё как будто в мираже",дым как от колесо porsche всё как будто в мираж
И все дэнсят-дэнсят-дэнсят под Музло из гаражей,и всё под музло из гараж
На последнем этаже фешенебельный фуршет,на последний этаж фешенебельный фуршет
И все дэнсят-дэнсят-дэнсят под Музло из гаражей,и всё под музло из гараж
"Дым, как от колёс Porsche, всё как будто в мираже",дым как от колесо porsche всё как будто в мираж
Но все дэнсят-дэнсят-дэнсят под Музло из гаражей,но всё под музло из гараж
Эй,эй
Эй,эй
"На последнем этаже (а, а, а, а-а)",на последний этаж а а а
"У, у",у у
"А, а",а а
"А, а, а",а а а
"Заратустра, Камасутра",заратустра камасутра
Снова ляжем спать под утро,снова лечь спать под утро
"Вот свечи, гаснет люстра",вот свеча гаснуть люстра
"Камасутра, Заратустра",камасутра заратустра
"Малышка хочет быть со мной, потому что я тупой",малышка хотеть быть с я потому что я тупой
На московских грустных рейвах я пляшу под кислотой,на московский грустный рейв я плясать под кислота
"Мы с танцпола, задыхаясь, убегаем в туалет",мы с танцполый задыхаться убегать в туалет
"И ты целуешь мокрый пальчик, что был только что в тебе",и ты целовать мокрый пальчик что быть только что в ты
"В крепко выпитом огне, едем на такси ко мне",в крепко выпить огонь ехать на такси к я
"Выжал тебя, как лимон, и на тебе ничего нет",выжать ты как лимон и на ты ничего нет
"Ты бессильно спишь уже, а в моей тупой башке",ты бессильно спать уже а в мой тупой башка
Незаметно поселился неожиданный флэшбэк,незаметно поселиться неожиданный флэшбэк
"Я так хотел быть долбоёбом, чтобы",я так хотеть быть долбоёб чтобы
"Как они, чтобы не быть белой вороной, что ли?",как они чтобы не быть белый ворона что ли
Убивал мозги дешёвым алкоголем с molly,убивать мозг дешёвый алкоголь с molly
А как ещё тут быть весёлым? (Ну как тут быть весёлым?),а как ещё тут быть весёлый ну как тут быть весёлый
А я весёлым-то и не был,а я и не быть
"Не понимаю, что забыл под этим небом",не понимать что забыть под это небо
В крови зачем-то всратых лет случайно вспомнил,в кровь всратый год случайно вспомнить
Как однажды захотел быть долбоёбом,как однажды захотеть быть долбоёб
Я хочу быть долбоёбом,я хотеть быть долбоёб
Чтоб меня никто не трогал,чтоб я никто не трогать
"Джанки жрать, крутить крапиву",джанк жрать крутить крапива
И просто быть счастливым,и просто быть счастливый
Я хочу быть долбоёбом,я хотеть быть долбоёб
Чтоб меня никто не трогал,чтоб я никто не трогать
"Джанки жрать, крутить крапиву",джанк жрать крутить крапива
И просто быть счастливым,и просто быть счастливый
Что-то поезд разогнался,поезд разогнаться
"Поворачивай, едем назад",поворачивать ехать назад
Тут всего лишь (всего лишь) пару станций,тут весь лишь весь лишь пара станция
"До той, где нам по 19",до тот где мы по
"Море пива (пива), лужи водки (водки)",море пиво пиво лужа водка водка
Молодые ждут красотки,молодой ждать красотка
С караваем и салями,с каравай и салями
"(Салями, салями, салями)",салями салями салями
А теперь в Instagram'е эти тёлки-зажигалки (зажигалки),а теперь в instagram быть этот зажигалка
Полируют селфи-палки,полировать
Цедят из бокалов алко,цедить из бокал алко
Они кончат как Маколей Калкин,они кончить как маколя калкина
"Один дома, отрешённо",один дом отрешённо
Разряжаю свой iPhone,разряжать свой iphone
Я не хочу быть долбоёбом,я не хотеть быть долбоёб
Кончу как Илья Обломов,кончить как илья обломов
Я хочу быть долбоёбом,я хотеть быть долбоёб
Чтоб меня никто не трогал,чтоб я никто не трогать
"Джанки жрать, крутить крапиву",джанк жрать крутить крапива
И просто быть счастливым,и просто быть счастливый
Я хочу быть долбоёбом,я хотеть быть долбоёб
Чтоб меня никто не трогал,чтоб я никто не трогать
"Джанки жрать, крутить крапиву",джанк жрать крутить крапива
И просто быть счастливым,и просто быть счастливый
"А, эй, оу-е, эй",а эй эй
I am first feel,i am first feel
"Напишу тебе в ICQ: I love you, baby, I love you",написать ты в icq i love you baby i love you
"У, у, у, выходи быстрей, на-на-на-на-на, дикий TIK TOK RAVE",у у у выходить быстрый дикий tik tok rave
"Напишу тебе в ICQ: I love you, baby, I love you",написать ты в icq i love you baby i love you
"У, у, у, выходи быстрей, на-на-на-на-на, дикий TIK TOK RAVE",у у у выходить быстрый дикий tik tok rave
"Я, я, я в чарте, вы, вы, вы — черти",я я я в чарт вы вы вы чёрт
"Super Fiesta, тусим до смерти",super fiesta тусим до смерть
"Тупые песни, чтобы качало",тупой песня чтобы качать
Так собираем полные залы (А),так собирать полный зала а
"Так и живём: девочки плачут, женщины любят",так и жить девочка плакать женщина любить
"Ночью и днём мальчики злятся, мужчины танцуют",ночью и день мальчик злиться мужчина танцевать
"Тело ломит с утра, и болит голова",тело ломить с утро и болеть голова
